epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,235.633,1.49802,1.67967,1.00845,1.22166,0.61768,0.55329,0.55348,0.19694,0.6379,0.53091,0.56887,0.214,2.21897,2.3798,1.47896,1.80725,0.0018086,0.0018086,0.0018086
31,243.409,1.47802,1.66936,0.99973,1.21427,0.61586,0.54795,0.53662,0.18835,0.64914,0.55708,0.58751,0.21935,2.26049,2.3063,1.45807,1.88274,0.001802,0.001802,0.001802
32,251.128,1.48059,1.67378,0.96998,1.20887,0.57795,0.46575,0.50868,0.18573,0.64245,0.47945,0.53511,0.2017,2.1876,2.27097,1.47659,1.76569,0.0017954,0.0017954,0.0017954
33,258.773,1.46748,1.65187,0.9631,1.19025,0.57458,0.52055,0.50431,0.17146,0.58688,0.55251,0.5319,0.19625,2.21959,2.27544,1.47424,1.83227,0.0017888,0.0017888,0.0017888
34,266.318,1.44541,1.64903,0.93456,1.18295,0.64361,0.53881,0.54677,0.18056,0.66183,0.55407,0.58729,0.20986,2.264,2.28755,1.47869,1.83599,0.0017822,0.0017822,0.0017822
35,273.989,1.43335,1.63837,0.96472,1.18105,0.58771,0.55326,0.57175,0.20754,0.61717,0.52968,0.58446,0.2251,2.12828,2.38628,1.50447,1.78605,0.0017756,0.0017756,0.0017756
36,281.771,1.41412,1.60322,0.90599,1.15939,0.50594,0.46575,0.44818,0.16244,0.5679,0.39726,0.46464,0.17467,2.28714,2.4417,1.57333,1.88837,0.001769,0.001769,0.001769
37,289.401,1.40168,1.61797,0.92315,1.15745,0.51831,0.60926,0.56005,0.19759,0.56693,0.5858,0.59482,0.21878,2.24377,2.32186,1.31458,1.88977,0.0017624,0.0017624,0.0017624
38,297.054,1.36868,1.59657,0.87705,1.14257,0.61419,0.53881,0.58433,0.20092,0.63301,0.52968,0.58385,0.22536,2.30408,2.38594,1.38147,1.86959,0.0017558,0.0017558,0.0017558
39,304.689,1.38305,1.62163,0.89362,1.14676,0.63613,0.48696,0.57183,0.20834,0.57223,0.53425,0.5681,0.22126,2.22007,2.42078,1.44036,1.75227,0.0017492,0.0017492,0.0017492
40,312.262,1.35964,1.57402,0.87454,1.13443,0.57471,0.51598,0.54652,0.18438,0.61143,0.53425,0.56906,0.22263,2.29478,2.24195,1.46694,1.87991,0.0017426,0.0017426,0.0017426
