epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,278.602,1.4203,1.62245,0.94306,1.17804,0.61566,0.60711,0.59522,0.21004,0.60071,0.60274,0.61816,0.23975,2.19246,2.10104,1.40556,1.78942,0.0014258,0.0014258,0.0014258
31,286.301,1.43401,1.61746,0.94513,1.18303,0.57056,0.57078,0.50174,0.18077,0.61492,0.56874,0.55553,0.22081,2.28204,2.28167,1.45577,1.88613,0.001406,0.001406,0.001406
32,293.975,1.40221,1.62153,0.91956,1.16648,0.59656,0.50228,0.52877,0.17982,0.57168,0.51194,0.52935,0.20126,2.26963,2.39225,1.41173,1.87086,0.0013862,0.0013862,0.0013862
33,301.561,1.40537,1.60207,0.91683,1.15508,0.53667,0.59238,0.52154,0.18757,0.56974,0.54795,0.57078,0.21409,2.21874,2.32974,1.44491,1.80695,0.0013664,0.0013664,0.0013664
34,309.224,1.36157,1.59053,0.85987,1.14086,0.57502,0.58904,0.56033,0.19309,0.55293,0.621,0.6143,0.24462,2.32764,2.30527,1.36002,1.89489,0.0013466,0.0013466,0.0013466
35,316.926,1.36483,1.5845,0.89486,1.13548,0.58909,0.59817,0.5811,0.19173,0.55887,0.57991,0.56866,0.21239,2.17558,2.17508,1.43261,1.76286,0.0013268,0.0013268,0.0013268
36,324.526,1.32333,1.53872,0.84336,1.11934,0.6118,0.47489,0.49977,0.17558,0.64869,0.46575,0.54973,0.2206,2.27105,2.21686,1.45702,1.86788,0.001307,0.001307,0.001307
37,332.139,1.34072,1.55183,0.86059,1.12162,0.65968,0.51142,0.59347,0.21132,0.66527,0.49315,0.5846,0.22817,2.17401,2.43024,1.3002,1.83732,0.0012872,0.0012872,0.0012872
38,339.717,1.32505,1.53362,0.83689,1.11397,0.58595,0.54795,0.55922,0.19329,0.61908,0.51947,0.56632,0.21858,2.38747,2.34134,1.40272,1.93848,0.0012674,0.0012674,0.0012674
39,347.369,1.32637,1.54611,0.84003,1.11977,0.63098,0.53873,0.57662,0.20116,0.72148,0.51598,0.60702,0.22662,2.25446,2.41255,1.33237,1.84467,0.0012476,0.0012476,0.0012476
